Date,Close/Last,Volume,Open,High,Low
11/20/2024,$86.77,15174540,$87.04,$87.54,$86.50
11/19/2024,$87.11,19289020,$87.16,$87.94,$86.8184
11/18/2024,$89.35,13513840,$88.90,$89.50,$87.85
11/15/2024,$88.59,31018270,$90.20,$90.70,$87.23
11/14/2024,$90.58,16946770,$90.89,$91.555,$90.01
11/13/2024,$92.00,12874520,$92.55,$92.87,$91.28
11/12/2024,$91.78,21641880,$92.68,$93.33,$91.03
11/11/2024,$95.42,12556730,$96.16,$96.80,$95.045
11/08/2024,$94.19,24879800,$96.11,$96.38,$93.69
11/07/2024,$100.14,16340400,$99.26,$101.10,$99.18
11/06/2024,$96.73,18162860,$95.80,$97.32,$94.76
11/05/2024,$99.21,10804150,$99.97,$101.09,$98.955
11/04/2024,$98.40,8681889,$98.82,$99.88,$98.36
11/01/2024,$97.58,8501018,$98.22,$98.2999,$97.42
10/31/2024,$97.98,8379347,$97.80,$98.10,$96.755
10/30/2024,$98.70,10179900,$98.215,$99.80,$97.58
10/29/2024,$99.83,13685370,$101.45,$101.45,$99.53
10/28/2024,$99.93,16044380,$99.03,$101.05,$98.78
10/25/2024,$97.42,16977100,$98.30,$98.90,$97.05
10/24/2024,$96.36,13602870,$96.79,$97.41,$95.52
10/23/2024,$98.00,13638150,$100.165,$100.22,$97.735
10/22/2024,$100.46,20650130,$100.01,$101.89,$99.80
10/21/2024,$100.91,10328630,$100.475,$101.65,$100.115
10/18/2024,$102.43,20824610,$103.365,$103.365,$101.66
10/17/2024,$100.07,15808250,$101.25,$101.45,$99.55
10/16/2024,$102.17,16432570,$102.505,$103.85,$101.78
10/15/2024,$101.84,28942620,$103.99,$104.41,$101.64
10/14/2024,$107.81,21351600,$108.31,$110.08,$106.92
10/11/2024,$110.14,18042610,$108.05,$111.05,$107.22
10/10/2024,$109.28,19736630,$108.98,$110.84,$107.48
10/09/2024,$107.89,28793000,$105.80,$109.38,$105.62
10/08/2024,$109.68,37414360,$110.10,$110.76,$108.04
10/07/2024,$117.52,38404020,$117.45,$117.82,$113.37
10/04/2024,$114.53,25699080,$115.665,$115.73,$113.75
10/03/2024,$112.84,29266950,$110.90,$114.09,$110.63
10/02/2024,$115.25,53732820,$115.31,$116.57,$112.22
10/01/2024,$112.74,44505030,$106.42,$112.79,$106.15
09/30/2024,$106.12,58695540,$111.72,$112.22,$106.105
