Date,Close/Last,Volume,Open,High,Low
11/27/2024,601.82,4669369,603.47,603.79,600.26
11/26/2024,603.76,4413249,601.75,604.275,601.03
11/25/2024,600.22,4637907,602.47,603.77,598.15
11/22/2024,598.45,3302826,596.64,599.08,596.15
11/21/2024,596.48,4175410,596.36,598.02,590.32
11/20/2024,593.44,4696858,593.23,593.67,587.50
11/19/2024,593.17,3747691,587.63,593.9597,586.99
11/18/2024,591.11,5778266,589.09,592.38,588.21
11/15/2024,588.66,5426600,592.62,593.06,586.75
11/14/2024,596.23,2687703,600.26,600.7476,595.63
11/13/2024,600.20,3593040,600.29,602.16,597.93
11/12/2024,599.75,6450048,601.62,602.22,597.35
11/11/2024,601.59,3995596,602.80,603.09,599.945
11/08/2024,601.13,5485657,599.12,602.56,599.12
11/07/2024,598.51,3892773,596.01,599.54,595.92
11/06/2024,593.88,5260463,592.08,594.7991,588.30
11/05/2024,579.49,2988684,573.57,579.53,573.36
11/04/2024,572.57,3495954,573.94,575.26,570.64
11/01/2024,573.72,3188843,574.03,578.31,573.39
10/31/2024,571.24,8318741,578.34,578.42,571.18
10/30/2024,582.67,3831039,584.11,586.14,582.16
