Date,Close/Last,Volume,Open,High,Low
11/27/2024,598.83,34000160,600.46,600.85,597.28
11/26/2024,600.65,45621290,598.80,601.33,598.07
11/25/2024,597.53,42441390,599.52,600.86,595.20
11/22/2024,595.51,38226390,593.66,596.15,593.1525
11/21/2024,593.67,46750290,593.40,595.12,587.45
11/20/2024,590.50,50032580,590.38,590.79,584.63
11/19/2024,590.30,49412050,584.71,591.045,584.03
11/18/2024,588.15,37084080,586.22,589.49,585.34
11/15/2024,585.75,75988770,589.72,590.20,583.86
11/14/2024,593.35,38904110,597.32,597.81,592.65
11/13/2024,597.19,47388640,597.37,599.23,594.96
11/12/2024,596.90,43006130,598.68,599.29,594.37
11/11/2024,598.76,37586770,599.81,600.17,597.00
11/08/2024,598.19,46444890,596.17,599.64,596.165
11/07/2024,595.61,47233210,593.08,596.65,592.9999
11/06/2024,591.04,68181970,589.20,591.93,585.39
11/05/2024,576.70,39478320,570.74,576.74,570.52
11/04/2024,569.81,38216980,571.18,572.50,567.89
11/01/2024,571.04,45667530,571.32,575.55,570.62
10/31/2024,568.64,60182450,575.56,575.63,568.44
10/30/2024,580.01,41435840,581.29,583.32,579.29
